Store Name,City,Zip Code,Address,Latitude,Longitude,Phone Number
Walmart Supercenter #1651,American Canyon,94503,7011 Main St,38.182987,-122.252632,(707) 338-2561
Walmart Supercenter #5930,Anaheim,92801,88 E Orangethorpe Ave,33.857602,-117.918796,(714) 319-2263
Walmart Supercenter #2242,Anaheim,92801,440 N Euclid St,33.836272,-117.938064,(714) 319-6546
Walmart Supercenter #1881,Antelope,95843,7901 Watt Ave,38.712842,-121.394608,(916) 332-3173
Walmart Supercenter #2697,Antioch,94531,4893 Lone Tree Way,37.963462,-121.761642,(925) 755-0900
Walmart #2333,Apple Valley,92307,20251 Hwy 18,34.52558,-117.22324,(760) 946-2030
Walmart Supercenter #5890,Atwater,95301,800 Commerce Ave,37.34225662,-120.6087536,(209) 259-9292
Walmart Supercenter #5134,Bakersfield,93313,5075 Gosford Rd,35.30822984,-119.09226,(661) 912-6387
Walmart Neighborhood Market #3141,Bakersfield,93307,5037 East Brundage Lane,35.35421364,-118.9486064,(661) 473-3357
Walmart Supercenter #1574,Bakersfield,93307,6225 Colony St,35.29640134,-119.0272192,(661) 203-1767
Walmart Supercenter #2557,Bakersfield,93312,8400 Rosedale Hwy,35.3860877,-119.0958304,(661) 374-7114
Walmart Supercenter #3522,Baldwin Park,91706,3250 Big Dalton Ave,34.07293516,-117.9633419,(626) 404-4088
Walmart Supercenter #1879,Barstow,92311,301 Montara Rd,34.88453325,-116.9920798,(442) 235-1802
Walmart Supercenter #5156,Beaumont,92223,1540 E 2nd St,33.9231138,-116.9522723,(951) 692-1238
Walmart  Supercenter #5335,Brawley,92227,250 Wildcat Dr,32.962431,-115.545833,(760) 550-2366
Walmart #2523,Brea,92821,2595 E Imperial Hwy,33.9132315,-117.8652883,(714) 529-0596
Walmart Supercenter #5686,Burbank,91502,1301 N Victory Pl,34.18829145,-118.3239553,(747) 261-8072
Walmart Neighborhood Market #5664,Camarillo,93010,275 West Ventura Blvd,34.2172325,-119.0746227,(805) 233-3378
Walmart Neighborhood Market #5981,Carmichael,95608,6005 Madison Ave,38.6625598,-121.3248609,(916) 534-1157
Walmart Supercenter #3464,Chino,91710,3943 Grand Ave,33.995336,-117.719268,(909) 364-1968
Walmart Supercenter #3516,Chula Vista,91915,1360 Eastlake Pkwy,32.63322883,-116.9672997,(619) 629-1216
Walmart Supercenter #3947,Chula Vista,91910,875 E H St,32.63785,-117.025,(619) 386-4057
Walmart Supercenter #2251,City of Industry,91745,17150 Gale Ave,33.998437,-117.932376,(626) 854-1166
Walmart Supercenter #5337,Clovis,93611,1185 Herndon Ave,36.83753,-119.6959473,(559) 593-0121
Walmart Supercenter #1912,Corona,92879,479 N Mckinley St,33.890834,-117.517225,(951) 666-0964
Walmart Supercenter #2842,Corona,92881,1290 E Ontario Ave,33.8460203,-117.5412698,(951) 666-0974
Walmart Supercenter #2292,Covina,91722,1275 N Azusa Ave,34.102622,-117.909601,(626) 404-4970
Walmart Neighborhood Market #4762,Diamond Bar,91765,1180 South Diamond Bar Blvd.,34.00139818,-117.8108014,(909) 524-8068
Walmart Supercenter #5139,Dixon,95620,235 E Dorset Dr,38.47073275,-121.8187031,(707) 771-6278
Walmart Supercenter #4132,Downey,90242,9001 Apollo Way,33.9245953,-118.1285433,(562) 922-5179
Walmart #2401,Duarte,91020,1600 Mountain Ave,34.1345211,-117.9842383,(626) 359-7708
Walmart Neighborhood Market #4169,El Cajon,92021,300 North Second Street,32.797303,-116.936688,(619) 760-7936
Walmart Supercenter #2253,El Cajon,92021,13487 Camino Canada,32.822626,-116.901748,(619) 561-0828
Walmart Supercenter #1555,El Centro,92243,2150 N Waterman Ave,32.813411,-115.577324,(760) 336-1403
Walmart #1697,Elk Grove,95758,8465 Elk Grove Blvd,38.4115175,-121.3914214,(916) 684-7100
Walmart #5848,Elk Grove,95757,10075 Bruceville Rd,38.392332,-121.4162803,(916) 585-7344
Walmart Supercenter #5886,Encinitas,92024,1550 Leucadia Blvd,33.069254,-117.266426,(760) 501-6948
Walmart Neighborhood Market #3084,Escondido,92027,1266 East Valley Parkway,33.13104789,-117.0657979,(760) 803-0610
Walmart Supercenter #2048,Fairfield,94533,2701 N Texas St,38.279081,-122.035243,(707) 428-4792
Walmart Supercenter #1760,Folsom,95630,1018 Riley St,38.668326,-121.167602,(916) 983-1090
Walmart #1756,Fontana,92335,17251 Foothill Blvd,34.1055982,-117.4282025,(909) 355-6922
Walmart Supercenter #2218,Foothill Ranch,92610,26502 Towne Centre Dr,33.68016997,-117.6677643,(949) 410-2890
Walmart Supercenter #2985,Fresno,93650,7065 N Ingram Ave,36.83842111,-119.80187,(559) 593-0068
Walmart Supercenter #1815,Fresno,93711,3680 W Shaw Ave,36.80837201,-119.8589865,(559) 353-4038
Walmart Supercenter #2001,Fresno,93727,5125 East Kings Canyon Rd,36.73596341,-119.7215824,(559) 772-5401
Walmart Supercenter #5231,Galt,95632,10470 Twin Cities Road,38.28965,-121.305,(209) 331-0712
Walmart Supercenter #4171,Garden Grove,92841,11822 Gilbert St,33.79083364,-117.9674427,(657) 667-9063
Walmart Supercenter #2002,Gilroy,95020,7150 Camino Arroyo,37.008583,-121.551183,(408) 612-6312
Walmart Supercenter #1941,Glendora,91740,1950 Auto Center Drive,34.1175,-117.82652,(909) 634-9785
Walmart Supercenter #1645,Hanford,93230,250 S 12th Ave,36.32135182,-119.6730073,(559) 772-5331
Walmart Neighborhood Market #5604,Hawthorne,90250,14441 Inglewood Ave,33.9002885,-118.362315,(424) 336-2212
Walmart Supercenter #1853,Hemet,92545,1231 S Sanderson Ave,33.72531,-117.00665,(951) 514-5507
Walmart Supercenter #4340,Hesperia,92345,13401 Main St,34.42667469,-117.3708266,(760) 803-0732
Walmart Supercenter #1914,Highland,92346,4210 East Highland Avenue,34.137744,-117.194853,(909) 425-8846
Walmart #2636,Huntington Beach,92646,8230 Talbert Ave,33.7005606,-117.9854515,(714) 841-5390
Walmart Neighborhood Market #5601,Huntington Beach,92648,21132 Beach Blvd,33.655581,-117.987004,(714) 274-4484
Walmart Supercenter #2181,Indio,92203,82-491 Avenue 42,33.7402813,-116.2292584,(760) 895-7612
Walmart Supercenter #5644,Irvine,92606,16555 Von Karman Ave Ste A,33.6987861,-117.8356661,(949) 236-9512
Walmart Supercenter #5687,Irvine,92618,71 Technology Dr,33.6569111,-117.7417241,(949) 242-6587
Walmart Neighborhood Market #5663,Jurupa Valley,92509,8844 Limonite Avenue,33.9744481,-117.4767881,(951) 968-7218
Walmart Supercenter #5641,La Habra,90631,1000 E Imperial Hwy,33.91616,-117.935,(657) 272-0691
Walmart Neighborhood Market #5684,La Mesa,91942,8810 Grossmont Blvd,32.77390974,-117.0074779,(619) 340-3379
Walmart Supercenter #1805,La Quinta,92253,79295 US Hwy 111,33.7036694,-116.2811024,(760) 835-1747
Walmart #2206,Laguna Niguel,92677,27470 Alicia Pkwy,33.563499,-117.7130597,(949) 360-0758
Walmart #2077,Lake Elsinore,92532,31700 Grape St,33.662238,-117.294343,(951) 245-5990
Walmart Supercenter #2609,Lakewood,90712,2770 Carson St,33.830375,-118.158622,(562) 429-6239
Walmart Supercenter #1563,Lancaster,93536,44665 Valley Central Way,34.6943,-118.17145,(661) 473-9408
Walmart Supercenter #2951,Lancaster,93535,1731 E Avenue J,34.692543,-118.0978198,(661) 203-1101
Walmart #1972,Livermore,94551,2700 Las Positas Rd,37.6992568,-121.7679832,(925) 455-0215
Walmart Supercenter #1789,Lodi,95242,2350 W Kettleman Ln Relo,38.1136237,-121.3033298,(209) 371-7077
Walmart Supercenter #1989,Lompoc,93436,701 W Central Ave,34.662905,-120.465243,(805) 735-9088
Walmart Supercenter #2117,Los Banos,93635,1575 West Pacheco Blvd,37.05678,-120.8789266,(209) 509-3247
Walmart #3493,Martinez,94553,1021 Arnold Dr,37.9969321,-122.1093895,(925) 313-5716
Walmart Supercenter #5136,Marysville,95901,1131 N Beale Rd,39.127225,-121.574284,(530) 443-7106
Walmart Supercenter #2119,Milpitas,95035,301 Ranch Dr,37.43240847,-121.9200874,(408) 781-5194
Walmart Supercenter #5710,Modesto,95356,3848 Mchenry Ave,37.69479082,-120.9943847,(209) 420-8942
Walmart Supercenter #5193,Moreno Valley,92555,12721 Moreno Beach Dr,33.93612763,-117.1785539,(951) 692-1327
Walmart Supercenter #5766,Morgan Hill,95037,170 Cochrane Plz,37.1495195,-121.6551509,(408) 612-9586
Walmart #2280,Mountain View,94040,600 Showers Dr,37.400846,-122.109748,(650) 917-0796
Walmart #2952,Murrieta,92562,41200 Murrieta Hot Springs Rd,33.5525377,-117.1926851,(951) 696-7135
Walmart Supercenter #5023,National City,91950,1200 Highland Ave,32.67448,-117.09737,(619) 207-9736
Walmart Supercenter #2494,Oceanside,92054,2100 Vista Way,33.18094,-117.34544,(760) 421-8162
Walmart Supercenter #5075,Oceanside,92056,3405 Marron Rd,33.177072,-117.297811,(760) 730-1371
Walmart Supercenter #2245,Oceanside,92057,705 College Blvd,33.241115,-117.290991,(760) 631-0434
Walmart Supercenter #3796,Ontario,91762,1333 North Mountain Avenue,34.08321176,-117.67014,(909) 781-0438
Walmart #2546,Orange,92865,2300 N Tustin St,33.8282987,-117.8384324,(714) 998-4473
Walmart Supercenter #4309,Orangevale,95662,8961 Greenback Ln,38.67938,-121.222549,(916) 710-1597
Walmart Supercenter #2032,Oxnard,93036,2001 N Rose Ave,34.2205798,-119.1610023,(805) 981-4884
Walmart #3087,Oxnard,93033,2701 Saviers Rd,34.1745535,-119.1795607,(805) 200-5224
Walmart Neighborhood Market #5643,Oxnard,93036,421 W Esplanade Dr,34.2369775,-119.1787978,(805) 604-2082
Walmart Supercenter #5096,Palm Desert,92211,34500 Monterey Ave,33.79722333,-116.38808,(760) 803-0939
Walmart Supercenter #1832,Palm Springs,92264,5601 E Ramon Rd,33.81577,-116.4875296,(760) 702-6497
Walmart Supercenter #1660,Palmdale,93551,40130 10th St W,34.61161899,-118.1477331,(651) 508-0607
Walmart Supercenter #2950,Palmdale,93552,37140 47th St E,34.55648999,-118.0453034,(661) 912-1143
Walmart #2568,Panorama City,91402,8333 Van Nuys Blvd,34.2225732,-118.4495478,(818) 830-0350
Walmart Supercenter #5843,Patterson,95363,1030 Sperry Ave,37.4654599,-121.1423833,(209) 371-7044
Walmart Supercenter #1747,Perris,92571,1800 N Perris Blvd,33.80511434,-117.2262,(951) 287-0475
Walmart Supercenter #2886,Pico Rivera,90660,8500 Washington Blvd,33.98672214,-118.1036904,(562) 215-5139
Walmart #1615,Pittsburg,94565,2203 Loveridge Rd,38.009202,-121.8683454,(925) 427-2022
Walmart #2161,Pleasanton,94588,4501 Rosewood Dr,37.6983014,-121.8873255,(925) 734-8744
Walmart Supercenter #2526,Porter Ranch,91326,19821 Rinaldi St,34.2773944,-118.5671529,(747) 230-3415
Walmart Supercenter #1700,Poway,92064,13425 Community Road,32.95916894,-117.0405409,(858) 740-7145
Walmart #1922,Rancho Cucamonga,91739,12549 Foothill Blvd,34.1035267,-117.5313411,(909) 899-1441
Walmart Neighborhood Market #5600,Rancho Santa Margarita,92688,30491 Avenida De Las Flores,33.64076737,-117.6011378,(949) 207-5070
Walmart Supercenter #2537,Redding,96003,1515 Dana Dr,40.583976,-122.34324,(530) 227-5118
Walmart #1693,Redlands,92373,2050 W Redlands Blvd,34.0650748,-117.2231701,(909) 353-9417
Walmart Supercenter #1862,Rialto,92376,1366 S Riverside Ave,34.076247,-117.373628,(909) 546-3491
Walmart #3455,Richmond,94806,1400 Hilltop Mall Rd,37.9798106,-122.3282937,(510) 669-1342
Walmart Supercenter #1899,Riverside,92507,6250 Valley Springs Pkwy,33.93761901,-117.2876351,(951) 348-8067
Walmart Supercenter #2028,Riverside,92503,5200 Van Buren Blvd,33.9370409,-117.455325,(951) 689-4595
Walmart Supercenter #3587,Rocklin,95677,5454 Crossings Drive,38.802655,-121.201915,(916) 710-0613
Walmart Supercenter #5154,Rosemead,91770,1827 Walnut Grove Ave,34.04960791,-118.0818472,(626) 940-4521
Walmart Supercenter #1988,Roseville,95678,900 Pleasant Grove Blvd,38.7876859,-121.2906359,(916) 698-0565
Walmart Supercenter #5192,Sacramento,95842,5821 Antelope Rd,38.703774,-121.331632,(916) 698-0519
Walmart Supercenter #2464,Sacramento,95660,8270 Delta Shores Circle,38.4594039,-121.4836244,(916) 661-2105
Walmart Supercenter #2735,Sacramento,95823,6051 Florin Rd,38.499441,-121.433569,(916) 462-0876
Walmart #2598,Sacramento,95834,3661 Truxel Rd,38.6366051,-121.5055292,(916) 928-9668
Walmart #3276,San Bernardino,92407,4001 Hallmark Pkwy,34.1654042,-117.3362203,(909) 880-4038
Walmart #2527,San Clemente,92673,951 Avenida Pico,33.4557273,-117.6062609,(949) 498-6669
Walmart Supercenter #2479,San Diego,92115,3412 College Ave,32.741638,-117.053603,(619) 922-8249
Walmart #2177,San Diego,92123,3382 Murphy Canyon Road,32.8053826,-117.1162335,(858) 571-6094
Walmart #5338,San Diego,92111,4840 Shawline St,32.829838,-117.1654342,(858) 268-2885
Walmart #5938,San Diego,92154,575 Saturn Blvd,32.5869746,-117.0892745,(619) 205-6140
Walmart Supercenter #5425,San Jacinto,92583,1861 S San Jacinto Ave,33.7674151,-116.958767,(951) 392-7973
Walmart Supercenter #5435,San Jose,95122,777 Story Rd,37.32904296,-121.8592369,(408) 500-8316
Walmart Supercenter #5884,San Jose,95118,5095 Almaden Expy,37.25683586,-121.8760781,(408) 500-1461
Walmart #2648,San Leandro,94577,1919 Davis St,37.7146416,-122.1776865,(510) 569-0200
Walmart #5434,San Leandro,94579,15555 Hesperian Blvd,37.6882568,-122.1313136,(510) 351-0108
Walmart Neighborhood Market #5610,San Ramon,94583,9100 Alcosta Blvd,37.729313,-121.929191,(925) 719-8231
Walmart Supercenter #2517,Santa Ana,92704,3600 W Mcfadden Ave,33.737285,-117.915302,(714) 319-1996
Walmart Supercenter #3523,Santa Clarita,91350,26471 Carl Boyer Dr,34.41520031,-118.5050527,(661) 912-6367
Walmart Supercenter #5162,Santa Clarita,91355,27931 Kelly Johnson Pkwy,34.444031,-118.576072,(661) 877-7357
Walmart Supercenter #2948,Santa Fe Springs,90670,13310 Telegraph Rd,33.940696,-118.049867,(562) 360-5698
Walmart Supercenter #1882,Selma,93662,3400 Floral Ave,36.5775362,-119.6345873,(559) 891-7190
Walmart #2621,Simi Valley,93605,255 Cochran St,34.2813661,-118.7918234,(805) 581-1666
Walmart Neighborhood Market #3147,Simi Valley,93603,2204 Tapo Street,34.2759037,-118.7077489,(805) 426-6802
Walmart Supercenter #3180,South Gate,90280,4651 Firestone Blvd,33.9523768,-118.1877772,(323) 496-6222
Walmart Supercenter #1554,Stockton,95212,3223 E Hammer Ln,38.02125231,-121.2742853,(209) 420-8223
Walmart Supercenter #3708,Suisun City,94585,350 Walters Road,38.24027,-121.98968,(707) 771-6244
Walmart Supercenter #2708,Temecula,92592,32225 Temecula Pkwy,33.48167984,-117.0959064,(951) 514-5137
Walmart Neighborhood Market #3179,Thousand Oaks,91320,512 North Ventu Park Road,34.1862378,-118.9090823,(346) 267-0017
Walmart #5874,Torrance,90503,22015 Hawthorne Blvd,33.827802,-118.3533152,(310) 750-0179
Walmart #2031,Union City,94587,30600 Dyer St,37.6046937,-122.0673456,(510) 475-5915
Walmart Neighborhood Market #5691,Upland,91786,1445 East Foothill Blvd,34.10681367,-117.6295669,(909) 524-8421
Walmart #3650,Ventura,93003,1739 S Victoria Ave,34.2580202,-119.2129036,(805) 665-5560
Walmart Supercenter #1588,Victorville,92392,11896 Amargosa Rd,34.46683315,-117.3496012,(760) 499-2006
Walmart Supercenter #4392,Victorville,92392,12234 Palmdale Road,34.50668456,-117.3961756,(760) 499-2004
Walmart Supercenter #5956,Visalia,93277,3750 S Mooney Blvd,36.29661105,-119.3135678,(559) 334-1185
Walmart Supercenter #2094,Vista,92083,1800 University Dr,33.17048143,-117.2152511,(760) 835-1785
Walmart #5152,West Hills,91307,6433 Fallbrook Ave,34.188181,-118.6250202,(818) 719-8602
Walmart Supercenter #3652,West Sacramento,95605,755 Riverpoint Ct,38.587595,-121.550184,(916) 698-0533
Walmart #2495,Westminster,92683,13331 Beach Blvd,33.7677967,-117.993337,(714) 799-0020
Walmart Supercenter #1903,Yuba City,95993,1150 Harter Rd,39.144742,-121.654034,(530) 440-6501
Walmart Supercenter #1915,Yucca Valley,92284,58501 29 Palms Hwy,34.132285,-116.384378,(760) 501-6496
